# Popular given names and their frequencies of Korean people
# retrieved November 28 2023
# from https://koreanname.me/
# original data from https://efamily.scourt.go.kr/
# filtered, [COUNT] >= 100
#
# data format:  [GIVEN NAME],[COUNT],[SEX]
#
# Each line shows [COUNT] [SEX] babies were born in Korea
#   from 2008 to 2023 who have given name of [GIVEN NAME].
#
# This collection does not reflect actual statistics of all Korean people.
# This is biased information to that age group.
#
#   sum of female babies = 2,891,427
#   sum of male babies = 2,971,409
#   sex ratio of male/female = 1.028
#

영현,342,female
윤재,341,female
솔지,341,female
규희,339,female
하유,338,female
새롬,338,female
소린,336,female
예송,336,female
유니,336,female
해율,335,female
규아,334,female
채우,333,female
혜온,331,female
로라,331,female
율이,330,female
조안,330,female
성주,329,female
민성,328,female
찬미,327,female
경아,327,female
주언,326,female
태현,326,female
소하,326,female
승원,326,female
규비,325,female
미연,325,female
현수,325,female
혜준,324,female
제희,323,female
원영,323,female
유화,322,female
솔이,322,female
초연,321,female
애리,321,female
유,319,female
인하,318,female
진이,318,female
마리,317,female
루빈,317,female
한울,315,female
벼리,315,female
현선,312,female
미영,312,female
민슬,311,female
희나,310,female
연호,309,female
미서,308,female
이룸,307,female
수,305,female
미우,305,female
성윤,304,female
새나,304,female
진유,301,female
다유,301,female
수애,300,female
자윤,299,female
수은,298,female
영지,298,female
승리,298,female
비,297,female
해랑,296,female
영아,296,female
동희,296,female
승윤,296,female
해연,296,female
리엘,295,female
모아,295,female
세율,294,female
현민,294,female
예경,293,female
한율,293,female
아이린,292,female
현비,292,female
윤혜,290,female
이봄,290,female
은제,288,female
해슬,287,female
미현,287,female
승지,287,female
성경,286,female
경희,286,female
온,286,female
우빈,286,female
노을,284,female
미선,284,female
규미,283,female
래은,281,female
재나,280,female
소명,280,female
리은,279,female
도혜,279,female
서혜,279,female
이연,278,female
인애,277,female
해은,275,female
준영,275,female
혜담,274,female
시엘,273,female
정화,273,female
송아,273,female
린하,272,female
인경,272,female
비주,271,female
명주,268,female
엘라,268,female
나빈,267,female
담비,267,female
설리,266,female
소운,266,female
보겸,263,female
서휘,263,female
자은,262,female
한아,261,female
희지,261,female
준이,260,female
여빈,260,female
다을,258,female
보름,258,female
유온,258,female
설린,257,female
도유,257,female
예정,256,female
안,255,female
명지,255,female
솔미,254,female
은찬,254,female
혜솔,254,female
리율,253,female
우희,252,female
여경,251,female
보리,251,female
경진,251,female
예닮,248,female
경미,248,female
준아,247,female
도예,247,female
자인,246,female
효선,246,female
올리비아,245,female
루이,244,female
지향,243,female
미지,243,female
상희,242,female
이원,242,female
명서,240,female
지해,240,female
미유,239,female
조아,239,female
명진,239,female
은빛,239,female
한희,237,female
설화,237,female
재린,237,female
새아,236,female
아미,235,female
우영,235,female
채온,234,female
해든,234,female
윤미,233,female
우경,233,female
리연,233,female
정,232,female
예본,232,female
유란,232,female
노아,230,female
효담,228,female
엘,228,female
다봄,227,female
채정,226,female
노엘,226,female
자영,226,female
다진,225,female
랑,224,female
세화,224,female
송은,223,female
혜슬,223,female
겨울,223,female
한이,222,female
성민,222,female
영선,222,female
자연,222,female
나정,221,female
민결,220,female
채운,220,female
란,220,female
하주,219,female
수련,219,female
나령,219,female
윤나,219,female
해서,218,female
희율,218,female
예연,217,female
소피아,217,female
예아,216,female
초윤,215,female
애나,214,female
성빈,214,female
다니,214,female
효영,214,female
이경,213,female
주엘,213,female
예니,213,female
승효,213,female
정미,212,female
효우,211,female
수화,211,female
하을,211,female
청아,210,female
교은,209,female
하서,209,female
미희,208,female
시진,207,female
영미,207,female
효아,206,female
가예,206,female
하란,206,female
주비,205,female
라영,205,female
가흔,205,female
연이,205,female
비아,204,female
설빈,204,female
가언,203,female
다비,203,female
리호,203,female
리혜,202,female
승비,202,female
부경,201,female
호은,201,female
믿음,200,female
여민,200,female
예라,200,female
별이,200,female
라경,200,female
현하,200,female
문정,199,female
성하,199,female
은샘,199,female
리,198,female
우연,197,female
주경,197,female
우린,197,female
이소,196,female
하언,195,female
윤별,195,female
지형,194,female
소아,194,female
신우,194,female
하울,194,female
지니,193,female
혜랑,193,female
화연,193,female
혜안,193,female
희엘,191,female
윤화,191,female
현승,191,female
동은,190,female
새은,189,female
성원,189,female
해영,189,female
미송,188,female
라나,188,female
차윤,187,female
은소,187,female
해이,187,female
태율,187,female
제은,186,female
이영,186,female
솔하,185,female
성미,185,female
영,185,female
상미,185,female
요원,183,female
다교,183,female
근아,183,female
아리아,183,female
연오,182,female
초현,182,female
슬빈,182,female
아희,182,female
미솔,181,female
아령,181,female
송,181,female
지완,180,female
채나,180,female
미르,180,female
